"","latitude","longitude","country","area","colour"
"62",54.76438,-3.32685,"United Kingdom","Aspatria","blue"
"74",51.72453,-2.19904,"United Kingdom","Thrupp","blue"
"118",53.76082,-2.7209,"United Kingdom","Preston","blue"
"121",51.5275,-0.12488,"United Kingdom","London","blue"
"122",51.52774,-0.10226,"United Kingdom","London","blue"
"127",51.52543,-0.12537,"United Kingdom","London","blue"
"128",52.49578,-2.00007,"United Kingdom","Oldbury","blue"
"162",52.45037,-1.82979,"United Kingdom","Birmingham","blue"
"176",54.96863,-1.61892,"United Kingdom","Newcastle upon Tyne","black"
"184",38.62171,-90.18869,"United States","St. Louis, MO","white"
"220",51.49718,-0.12754,"United Kingdom","London","blue"
"247",5.31353,-3.97542,"Côte d'Ivoire","Abidjan","blue"
"249",51.66765,-3.47266,"United Kingdom","Maerdy","blue"
"253",54.90181,-1.40296,"United Kingdom","Sunderland","blue"
"265",53.48044,-2.24641,"United Kingdom","Manchester",""
"278",51.20964,-2.64616,"United Kingdom","Wells","blue"
"339",50.82291,-0.15642,"United Kingdom","Brighton","blue"
"366",52.50411,-1.99158,"United Kingdom","Smethwick","blue"
"376",51.4997,-0.13003,"","",""
"395",57.59584,-4.42855,"United Kingdom","Dingwall","bronze"
"400",52.2428,0.39982,"United Kingdom","Newmarket","blue"
"407",51.67123,-4.70197,"United Kingdom","Tenby",""
"408",54.58536,-5.93431,"United Kingdom","Belfast","blue"
"435",51.57233,-0.20011,"United Kingdom","London","blue"
"437",51.51878,-0.14402,"United Kingdom","London","brushed metal"
"490",51.90476,-2.07108,"United Kingdom","Cheltenham","blue"
"505",51.53343,-0.10154,"United Kingdom","London","green"
"510",51.51715,-0.09541,"United Kingdom","London","blue"
"514",53.29296,-6.13142,"Ireland","Dún Laoghaire","marble"
"538",54.58779,-5.93509,"United Kingdom","Belfast","blue"
"572",51.52468,-0.11733,"United Kingdom","London","blue"
"573",51.52643,-0.12599,"United Kingdom","London","blue"
"574",51.52641,-0.1279,"United Kingdom","London","blue"
"576",53.37336,-3.03371,"United Kingdom","Birkenhead","blue"
"577",53.57074,-2.44921,"United Kingdom","Bolton","blue"
"579",53.96257,-1.08524,"United Kingdom","York","blue"
"583",51.52201,-0.16749,"United Kingdom","London","blue"
"669",51.38214,-0.30086,"United Kingdom","Surbiton","blue"
"676",51.50406,-3.22786,"United Kingdom","Cardiff","blue"
"707",51.5315,-0.12423,"United Kingdom","London","bronze"
"730",52.61852,1.72991,"United Kingdom","Great Yarmouth","blue"
"860",53.79366,-1.67263,"United Kingdom","Pudsey","blue"
"867",51.75513,-1.26027,"United Kingdom","Oxford","blue"
"887",51.41942,-0.20119,"United Kingdom","London","blue"
"912",53.39829,-0.54781,"United Kingdom","Spital in the Street","blue"
"915",51.42905,-0.17041,"United Kingdom","London","blue"
"929",54.68239,-1.5375,"United Kingdom","Ferryhill","blue"
"931",51.11245,-0.73647,"United Kingdom","Hindhead","blue"
"938",53.79677,-1.5475,"United Kingdom","Leeds","blue"
"967",53.82135,-1.52651,"United Kingdom","Leeds","blue"
"971",52.51745,-2.08692,"United Kingdom","Dudley","blue"
"979",53.77959,-1.55868,"United Kingdom","Leeds","blue"
"981",53.81319,-1.53394,"United Kingdom","Leeds","blue"
"982",53.84602,-1.58521,"United Kingdom","Leeds","blue"
"998",53.81761,-1.5604,"United Kingdom","Leeds","blue"
"1016",53.79924,-1.54906,"United Kingdom","Leeds","blue"
"1121",51.45373,-0.41016,"United Kingdom","London","blue"
"1175",51.76634,-1.25942,"United Kingdom","Oxford","blue"
"1179",51.55965,-1.78243,"United Kingdom","Swindon","blue"
"1185",53.96463,-1.08895,"United Kingdom","York","blue"
"1191",52.48924,13.35932,"Germany","Berlin","white"
"1208",52.73722,-1.04231,"United Kingdom","Thrussington",""
"1215",50.822,-0.15126,"United Kingdom","Brighton","blue"
"1218",51.54128,-0.27995,"United Kingdom","London","blue"
"1237",53.3983,-2.96779,"United Kingdom","Liverpool","blue"
"1272",51.67047,-4.70542,"United Kingdom","Tenby","blue"
"1276",51.40453,-0.34168,"United Kingdom","London","bronze"
"1291",51.20689,-1.47914,"United Kingdom","Andover","blue"
"1293",51.49896,-0.16989,"United Kingdom","London","blue"
"1305",46.21575,10.16716,"Italy","Tirano","stone"
"1310",51.52846,0.09105,"United Kingdom","London","blue"
"1337",45.70523,9.66084,"Italy","Bergamo","marble"
"1338",45.70533,9.66043,"Italy","Bergamo","stone"
"1356",45.80843,9.08614,"Italy","Como","marble"
"1358",45.80899,9.08452,"Italy","Como","bronze"
"1366",45.98548,9.26224,"Italy","Bellagio","marble"
"1369",54.66564,-5.90225,"United Kingdom","Newtownabbey","blue"
"1373",54.34844,-7.62893,"United Kingdom","Enniskillen","black"
"1375",51.45227,-0.08896,"United Kingdom","London","blue"
"1401",51.61041,-3.38764,"United Kingdom","Pontypridd","blue"
"1417",50.60718,-2.45354,"United Kingdom","Weymouth","blue"
"1424",51.51107,-0.12218,"United Kingdom","London","green"
