"XA","XB","XC","XD","XE","XF","XG","XH","Y_mean"
3.4,3.4,3.25,4.5,3,3.67,4,4,3.5
3,2,5,3.5,4,5,4,2,2.88
4.6,4.6,4.75,5,5,4.33,4,4,4.25
4.4,4.4,4.25,5,4.5,4,4.5,2,4
4.6,4.4,4.25,4,3.5,3,3,3.5,3.75
4,3.8,3.75,4,3.75,4,3.5,3.5,3.75
3.6,4,2.75,2.5,4.5,2.67,2,4,3.25
3.4,3.8,2.75,3.5,4.5,3,3,2.5,3.25
4.2,4.2,3.25,3.5,5,2.67,3,2.5,3.5
3.6,3.6,5,3.5,4.5,3,3,2,3.25
4.2,4.4,2.25,3.5,4.25,3,3,2,3.25
3.4,3.6,2,3,4.25,3,3,2.5,3.38
3.8,3.4,2.75,3.5,4,3,2,3,3
3.6,3.6,2.25,3,4,3.67,3,2.5,3.5
3.4,3.2,2.5,4,4,3,2,2,2.75
3.6,3,2.25,4,5,2.33,5,4,3.13
3.4,2.4,2.5,3,3,2.33,2.5,2,2.88
3.6,4,2.75,3,5,2.67,5,5,3.38
4,3.6,2.5,2.5,4,2.67,3,2.5,3.13
4.2,4.2,3,3.5,5,3,3,2,3.13
3.4,4,2.5,3.5,4,2.67,5,5,3.25
3.6,3.6,3,3.5,4,2.67,3,2.5,3.25
4.2,4.2,3,3.5,5,5,3,2,3.63
3.6,3.4,5,3,4,3.33,3,2,3.13
4.2,4.4,2.25,3.5,4,3,3,2,3.13
3.4,3.6,1.75,3,4,3,3,5,3.13
3.8,3.2,5,3.5,4,3,2,2.5,3
3.6,3.6,2.25,3,4,5,3.5,3,3.75
3.4,3.2,2.5,4,4,3,2,2,3.13
3.6,3,2.25,4,2.5,2.33,5,5,3
3.4,2.4,2.5,3,3,2.33,5,2,2.63
4.4,3.6,5,2.5,4,3.33,5,2,3.25
2.4,2.6,2.5,3,3.25,5,5,5,2.75
4,4.4,5,4.5,3,5,5,3.5,3.5
4.4,4,5,3,4,3,3,3,3.63
3.4,4,4,4,4,4,4,4,4
4.2,5,4.5,4,4.5,3,3.5,3,3.88
4.6,4.4,4,4,4.5,4,4.5,4.5,4.13
4.2,4.4,3.5,3,4.25,4,3,3,3.75
3,3,3,4,2.25,5,5,2,2.75
2,2.6,5,1.5,2.5,1,5,1.5,2.13
4.2,4,4,4,4,3,4,5,4
3.5,3.4,3.5,4.5,3,3.67,4,3,3.75
3,2,5,3.5,4,5,3,2,2.88
5,4.4,5,3,3.5,5,3.666666667,4,4.13
5,5,5,5,4,5,4,5,4.63
4.666666667,4.6,4.75,5,5,5,4,4,4.75
4.333333333,4.4,5,5,4.5,4,4.333333333,2,4
4.333333333,4.4,5,4,3.5,3,4,3.5,3.63
4.166666667,3.8,3.75,4,3.75,5,4,5,3.63
