A1;A2;A3;YA;XA;B4;B5;B6;YB;XB;C7;C8;C9;YC;XC;Y_HN;Y_HN_X
3;3;3;3;3;3;3;3;3;3.00;4;4;3;4;3.67;3.33;3.22
4;4;4;4;4;5;4;4;4;4.33;3;4;4;4;3.67;4.00;4.00
3;3;3;3;3;4;4;4;4;4.00;4;4;3;4;3.67;3.67;3.56
4;4;4;4;4;3;3;3;3;3.00;3;3;4;3;3.33;3.33;3.44
4;4;4;4;4.0;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.67
4;4;3;4;3.7;4;3;3;3;3.3;3;3;3;3;3.0;3.33;3.33
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
4;4;4;4;4.0;3;3;3;3;3.0;3;4;4;4;3.7;3.67;3.56
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
4;3;4;4;3.7;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.22
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
4;4;4;4;4.0;3;2;2;3;2.3;3;3;3;3;3.0;3.33;3.11
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.00;4.00
4;4;4;4;4.0;4;3;3;4;3.3;3;3;3;3;3.0;3.67;3.44
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
3;3;3;3;3.0;4;4;4;4;4.0;4;3;4;4;3.7;3.67;3.56
4;4;4;4;4.0;3;3;3;3;3.0;4;4;3;4;3.7;3.67;3.56
3;3;4;3;3.3;4;4;4;4;4.0;3;4;4;4;3.7;3.67;3.67
4;4;4;4;4.0;3;4;4;3;3.7;3;3;4;3;3.3;3.33;3.67
4;4;3;4;3.7;3;3;3;3;3.0;4;4;4;4;4.0;3.67;3.56
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.00;4.00
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3;3;3.0;3.33;3.33
4;4;4;4;4.0;4;4;3;4;3.7;3;3;3;3;3.0;3.67;3.56
4;4;3;4;3.7;4;5;4;4;4.3;3;4;3;4;3.3;4.00;3.78
4;4;3;4;3.7;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.00
4;4;3;4;3.7;4;3;4;4;3.7;4;4;4;4;4.0;4.00;3.78
5;5;3;5;4.3;5;5;3;4;4.3;4;4;4;4;4.0;4.33;4.22
4;4;3;4;3.7;4;3;4;4;3.7;4;4;4;4;4.0;4.00;3.78
5;4;4;4;4.3;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.22
5;5;3;4;4.3;5;5;5;5;5.0;4;4;3;4;3.7;4.33;4.33
5;4;3;4;4.0;4;5;5;4;4.7;3;4;4;4;3.7;4.00;4.11
5;5;4;4;4.7;4;5;4;4;4.3;3;4;4;4;3.7;4.00;4.22
4;4;3;4;3.7;4;5;4;4;4.3;4;4;4;4;4.0;4.00;4.00
5;4;3;4;4.0;4;5;4;5;4.3;5;5;4;5;4.7;4.67;4.33
4;4;3;4;3.7;5;5;4;5;4.7;4;4;4;4;4.0;4.33;4.11
5;5;5;5;5.0;4;5;4;5;4.3;4;4;4;4;4.0;4.67;4.44
5;5;4;5;4.7;4;5;4;4;4.3;4;4;4;4;4.0;4.33;4.33
5;4;4;4;4.3;5;5;4;4;4.7;4;4;4;4;4.0;4.00;4.33
4;4;3;4;3.7;5;5;4;5;4.7;3;4;4;4;3.7;4.33;4.00
5;4;4;4;4.3;5;5;4;4;4.7;3;4;4;4;3.7;4.00;4.22
5;4;3;4;4.0;4;5;5;4;4.7;3;4;4;4;3.7;4.00;4.11
