A1;A2;A3;YA;XA;B4;B5;B6;YB;XB;C7;YC;Y_TDC;Y_TDC_X;
5;4;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
4;5;5;5;4.67;5;4;4;4;4.3;4;4;4.33;4.3;
3;4;3;4;3.33;3;4;3;4;3.3;4;4;4.00;3.6;
3;4;3;4;3.33;3;4;3;4;3.3;4;4;4.00;3.6;
4;4;3;4;3.67;4;3;4;4;3.7;3;4;4.00;3.4;
4;4;4;4;4.00;3;3;4;3;3.3;4;4;3.67;3.8;
4;4;4;4;4.00;3;4;4;4;3.7;4;4;4.00;3.9;
4;4;4;4;4.00;4;4;4;4;4.0;3;3;3.67;3.7;
4;4;3;4;3.67;4;3;4;4;3.7;4;4;4.00;3.8;
4;3;3;4;3.33;4;4;4;4;4.0;4;4;4.00;3.8;
3;3;4;3;3.33;4;4;4;3;4.0;4;3;3.00;3.8;
4;3;4;4;3.67;3;4;4;4;3.7;4;4;4.00;3.8;
4;4;4;4;4.00;4;3;4;4;3.7;4;4;4.00;3.9;
4;4;4;4;4.00;3;3;3;3;3.0;4;4;3.67;3.7;
3;4;4;4;3.67;4;3;4;4;3.7;4;4;4.00;3.8;
4;4;4;4;4.00;4;4;3;4;3.7;3;3;3.67;3.6;
4;5;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
3;4;4;4;3.67;3;4;4;4;3.7;4;4;4.00;3.8;
4;4;3;4;3.67;4;4;4;4;4.0;4;4;4.00;3.9;
4;3;4;4;3.67;3;4;4;4;3.7;4;4;4.00;3.8;
4;4;4;4;4.00;3;3;3;3;3.0;4;4;3.67;3.7;
3;5;4;4;4.00;3;4;4;4;3.7;4;4;4.00;3.9;
4;4;4;4;4.00;3;3;3;3;3.0;4;4;3.67;3.7;
4;4;4;4;4.00;3;3;3;3;3.0;4;4;3.67;3.7;
4;4;4;4;4.00;4;4;3;4;3.7;3;3;3.67;3.6;
4;4;4;4;4.00;4;4;3;4;3.7;4;4;4.00;3.9;
4;4;3;4;3.67;4;5;4;4;4.3;4;4;4.00;4.0;
4;5;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
4;4;4;4;4.00;5;4;4;4;4.3;4;4;4.00;4.1;
5;4;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
4;4;3;4;3.67;4;5;4;4;4.3;4;4;4.00;4.0;
4;5;4;4;4.33;4;4;4;4;4.0;4;4;4.00;4.1;
4;5;4;4;4.33;5;4;4;4;4.3;4;4;4.00;4.2;
4;4;3;4;3.67;4;5;4;4;4.3;4;4;4.00;4.0;
4;5;4;4;4.33;4;4;5;4;4.3;4;4;4.00;4.2;
5;4;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
4;5;4;4;4.33;4;4;4;4;4.0;4;4;4.00;4.1;
5;5;4;5;4.67;4;4;3;4;3.7;4;4;4.33;4.1;
5;4;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
4;5;4;4;4.33;4;4;4;4;4.0;4;4;4.00;4.1;
4;5;4;4;4.33;4;4;4;4;4.0;4;4;4.00;4.1;
5;4;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
4;4;4;4;4.00;5;4;4;4;4.3;4;4;4.00;4.1;
4;5;4;4;4.33;4;4;4;4;4.0;3;4;4.00;3.8;
4;5;4;4;4.33;4;5;4;4;4.3;4;4;4.00;4.2;
3;3;3;3;3.0;4;4;4;4;4.0;3;3;3.3;3.3;
4;4;3;4;3.7;4;4;4;4;4.0;4;4;4.0;3.9;
4;4;4;4;4.0;3;4;3;3;3.3;3;3;3.3;3.4;
4;5;4;4;4.3;4;5;4;4;4.3;4;4;4.0;4.2;
4;4;4;4;4.0;5;5;4;4;4.7;4;4;4.0;4.2;
4;4;3;4;3.7;4;4;3;4;3.7;4;4;4.0;3.8;
4;5;4;4;4.3;4;4;4;4;4.0;4;4;4.0;4.1;
4;5;4;4;4.3;4;5;4;4;4.3;4;4;4.0;4.2;
4;4;3;4;3.7;3;4;3;3;3.3;4;4;3.7;3.7;
3;3;3;3;3.0;4;4;4;4;4.0;4;4;3.7;3.7;
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4.0;4.0;
4;5;4;4;4.3;4;5;4;4;4.3;4;4;4.0;4.2;
4;5;3;4;4.0;4;5;4;4;4.3;4;4;4.0;4.1;
4;4;4;4;4.0;4;4;3;4;3.7;3;3;3.7;3.6;
4;4;4;4;4.0;4;4;5;4;4.3;4;4;4.0;4.1;
5;4;4;4;4.3;5;4;4;4;4.3;4;4;4.0;4.2;
4;3;4;4;3.7;3;3;3;3;3.0;4;4;3.7;3.6;
3;4;3;3;3.3;3;4;3;3;3.3;3;3;3.0;3.2;
4;4;4;4;4.0;3;3;3;3;3.0;3;3;3.3;3.3;
3;3;3;3;3.0;3;4;3;3;3.3;4;4;3.3;3.4;
5;4;4;4;4.3;5;4;4;4;4.3;4;4;4.0;4.2;
4;5;3;4;4.0;4;5;4;4;4.3;4;4;4.0;4.1;
4;3;4;4;3.7;3;3;4;3;3.3;4;4;3.7;3.7;
5;4;4;4;4.3;5;4;4;4;4.3;4;4;4.0;4.2;
4;5;4;4;4.3;4;4;5;4;4.3;4;4;4.0;4.2;
4;3;4;4;3.7;4;3;3;4;3.3;4;3;3.7;3.7;
4;3;4;4;3.7;3;4;4;3;3.7;4;4;3.7;3.8;
4;4;3;4;3.7;3;4;3;3;3.3;3;3;3.3;3.3;
3;5;4;4;4.0;4;5;4;4;4.3;4;4;4.0;4.1;
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4.0;4.0;
4;4;4;4;4.0;3;4;4;4;3.7;4;4;4.0;3.9;
4;4;4;4;4.0;4;4;3;4;3.7;4;4;4.0;3.9;
3;3;3;3;3.0;4;4;3;3;3.7;3;3;3.0;3.2;
4;4;3;3;3.7;3;3;4;3;3.3;4;4;3.3;3.7;
3;4;4;4;3.7;4;5;4;4;4.3;4;4;4.0;4.0;
4;5;4;4;4.3;4;4;5;4;4.3;4;4;4;4.2;
5;4;4;4;4.3;4;4;4;4;4.0;4;4;4;4.1;
4;5;4;4;4.3;4;4;4;4;4.0;4;4;4;4.1;
4;4;3;4;3.7;4;4;3;4;3.7;4;4;4;3.8;
4;5;4;4;4.3;4;4;4;4;4.0;4;4;4;4.1;
4;4;3;4;3.7;4;4;3;4;3.7;4;4;4;3.8;
4;5;4;4;4.3;5;4;4;4;4.3;4;4;4;4.2;
4;5;4;4;4.3;5;4;4;4;4.3;4;4;4;4.2;
