XA1;XA2;XA3;XYA;XXA;XB4;XB5;XB6;XYB;XXB;XC7;XC8;XC9;XYC;XXC;Y_TTH;Y_TTH_X
3;4;2;3;3.0;4;4;4;4;4.0;4;4;3;4;3.7;3.7;3.6
4;3;3;3;3.3;3;4;3;3;3.3;4;3;3;3;3.3;3.0;3.3
4;3;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;4;3;3;3.3;3;4;3;3;3.3;3;4;3;3;3.3;3.0;3.3
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;3;3;3;3.3;3;2;3;3;2.7;3;4;3;4;3.3;3.3;3.1
4;3;3;3;3.3;4;5;4;4;4.3;3;3;3;3;3.0;3.3;3.6
3;4;2;3;3.0;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;4;2;3;3.0;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;4;3;3;3.3;4;3;3;3;3.3;4;4;3;4;3.7;3.3;3.4
3;4;3;3;3.3;3;3;3;3;3.0;4;3;3;3;3.3;3.0;3.2
4;4;3;4;3.7;4;4;3;4;3.7;4;3;3;4;3.3;4.0;3.6
3;4;2;3;3.0;3;4;3;3;3.3;4;3;3;4;3.3;3.3;3.2
3;4;2;3;3.0;4;4;4;4;4.0;4;4;3;4;3.7;3.7;3.6
4;3;3;3;3.3;3;4;3;3;3.3;4;3;3;3;3.3;3.0;3.3
4;3;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;4;3;3;3.3;3;4;3;3;3.3;3;4;3;3;3.3;3.0;3.3
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;3;3;3;3.3;3;2;3;3;2.7;3;4;3;4;3.3;3.3;3.1
4;3;3;3;3.3;4;5;4;4;4.3;3;3;3;3;3.0;3.3;3.6
3;4;2;3;3.0;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;4;2;3;3.0;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;4;3;3;3.3;4;3;3;3;3.3;4;4;3;4;3.7;3.3;3.4
3;4;3;3;3.3;3;3;3;3;3.0;4;3;3;3;3.3;3.0;3.2
4;4;3;4;3.7;4;4;3;4;3.7;4;3;3;4;3.3;4.0;3.6
3;4;2;3;3.0;3;4;3;3;3.3;4;3;3;4;3.3;3.3;3.2
3;4;2;3;3.0;4;4;4;4;4.0;4;4;3;4;3.7;3.7;3.6
4;3;3;3;3.3;3;4;3;3;3.3;4;3;3;3;3.3;3.0;3.3
4;3;3;3;3.3;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.2
4;4;4;4;4.0;4;4;4;4;4.0;4;4;4;4;4.0;4.0;4.0
3;4;3;3;3.3;3;4;3;3;3.3;3;4;3;3;3.3;3.0;3.3
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
3;3;2;3;2.7;3;4;3;3;3.3;4;4;4;4;4.0;3.3;3.3
4;3;3;3;3.3;3;2;3;3;2.7;3;4;3;4;3.3;3.3;3.1
4;3;3;3;3.3;4;5;4;4;4.3;3;3;3;3;3.0;3.3;3.6
3;4;2;3;3.0;3;4;3;3;3.3;3;3;3;3;3.0;3.0;3.1
3;4;2;3;3.0;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.4
4;3;3;3;3.3;4;3;3;3;3.3;4;4;4;4;4.0;3.3;3.6
