ID,Lat,Long,District,Cx_T1,Cx_V1,Cx_Q1,Cx_T2,Cx_V2,Cx_Q2,Sum_CT1,Sum_CV1,Sum_CQ1,Sum_Cx
01 - 001,20.88555556,105.6513889,Chuong My,4,0,0,3,0,0,7,0,0,7
01 - 002,20.88472222,105.635,Chuong My,0,0,0,0,0,0,0,0,0,0
01 - 003,20.88472222,105.6494444,Chuong My,4,0,0,1,0,0,5,0,0,5
01 - 004,20.88222222,105.6583333,Chuong My,7,0,0,0,0,0,7,0,0,7
01 - 005,20.87111111,105.6719444,Chuong My,0,0,0,0,0,0,0,0,0,0
01 - 006,20.87166667,105.6727778,Chuong My,0,0,0,0,0,0,0,0,0,0
01 - 007,20.87138889,105.6719444,Chuong My,1,2,0,0,0,0,1,2,0,3
01 - 008,20.87194444,105.6719444,Chuong My,1,0,0,0,0,0,1,0,0,1
01 - 009,20.87166667,105.7713889,Chuong My,1,2,0,0,0,0,1,2,0,3
01 - 010,20.87194444,105.6716667,Chuong My,0,0,0,0,0,0,0,0,0,0
01 - 011,20.85638889,105.6458333,Chuong My,7,0,0,0,0,0,7,0,0,7
01 - 012,20.85611111,105.6461111,Chuong My,0,0,0,1,0,0,1,0,0,1
01 - 013,20.85583333,105.6458333,Chuong My,2,0,0,0,0,0,2,0,0,2
01 - 014,20.85583333,105.6461111,Chuong My,0,0,0,1,0,0,1,0,0,1
01 - 015,20.85194444,105.6525,Chuong My,0,0,0,23,0,0,23,0,0,23
01 - 016,20.86861111,105.6452778,Chuong My,1,3,1,0,0,0,1,3,1,5
01 - 017,20.86833333,105.6452778,Chuong My,8,0,0,1,0,0,9,0,0,9
01 - 018,20.86861111,105.645,Chuong My,4,0,2,9,0,0,13,0,2,15
01 - 019,20.86888889,105.6466667,Chuong My,0,0,0,0,0,0,0,0,0,0
01 - 020,20.86916667,105.6463889,Chuong My,16,0,0,3,0,0,19,0,0,19
01 - 021,20.82916667,105.6425,Chuong My,5,0,0,4,0,0,9,0,0,9
01 - 022,20.82861111,105.6425,Chuong My,0,0,0,2,0,0,2,0,0,2
01 - 023,20.82861111,105.6422222,Chuong My,0,0,0,3,0,0,3,0,0,3
01 - 024,20.82777778,105.6427778,Chuong My,7,0,1,0,0,0,7,0,1,8
