"Engine","Shafts","RPM","CPRatio","InletTemp","ExhTemp","Airflow","Power","HeatRate"
"Aeroderiv",2,33000,6.9,888,513,3,486,16243
"Aeroderiv",2,30000,8.5,1004,561,4,806,14628
"Aeroderiv",2,18910,14,1066,532,8,1845,12766
"Aeroderiv",3,3600,35,1288,448,152,57930,8714
"Aeroderiv",3,3600,20,1160,456,84,25600,9469
"Aeroderiv",2,16000,10.6,1232,560,14,3815,11948
"Aeroderiv",1,14600,13.4,1077,536,20,4942,12414
"Traditional",1,14950,9.7,916,444,19,3515,12913
"Traditional",1,18000,12.7,1038,525,11,2000,14628
"Traditional",1,3600,14.2,1141,526,362,109370,10508
"Traditional",2,7900,15.6,1077,482,47,11700,11252
"Traditional",1,3000,15.1,1146,524,375,113700,10460
"Traditional",1,3600,14.2,1177,525,378,120500,10270
"Traditional",1,6211,15.7,1172,517,176,52600,10526
"Traditional",1,3000,11.1,1149,537,500,157010,10360
"Traditional",1,3600,12.6,1113,534,295,86650,10787
"Traditional",1,3600,11,1149,544,354,108719,10604
"Advanced",1,6600,20,1288,546,120,43000,9722
"Traditional",2,10400,15,1057,479,26,6844,10951
"Traditional",1,14950,12,1093,513,22,5500,11842
"Advanced",1,7280,14.3,1271,556,49,13680,11588
"Advanced",1,3600,20,1427,596,567,254000,9295
"Traditional",2,8568,17.6,1104,487,42,10685,11136
"Traditional",2,8568,16.2,1066,464,39,9286,11360
"Traditional",1,14950,15,1121,490,27,7520,10656
"Advanced",1,3600,18.5,1371,626,445,186600,9669
"Advanced",1,3000,23.2,1427,566,685,282000,9115
"Advanced",1,3600,16,1288,551,425,153600,9918
"Advanced",1,5400,16.2,1310,589,187,68000,10186
"Advanced",1,3000,21,1427,587,737,334000,9105
"Advanced",1,3000,14,1260,585,510,189000,9933
"Advanced",1,5400,16.1,1288,531,188,62300,10233
