"","Easting","Northing","Longtitude","Latitude","Reference","ALOS12","ALOS30","ASTER30","SRTM30"
"1",565772.171002932,2376894.93280421,105.634958730084,21.4934563561779,1403,1382,1404,1397,1412
"2",565637.321891047,2377863.51052033,105.633694868132,21.5022119718931,1200,1172,1201,1193,1200
"3",565400.618007623,2382195.81873976,105.631578858335,21.5413610299991,590,558,588,576,579
"4",551958.596937994,2393897.08664919,105.502136966146,21.6475190718324,989,944,971,984,958
"5",552972.27193415,2393549.82448061,105.511921943433,21.6443518019049,400,359,383,381,388
"6",552273.407005915,2392652.53993736,105.505140148538,21.6362658586322,600,567,592,595,582
"7",555693.207399082,2393473.70820608,105.538213546725,21.6435810302349,580,539,570,574,563
"8",576989.042369632,2415658.02804822,105.745035656421,21.843201973682,381,341,388,373,374
"9",574002.228736381,2415426.51299516,105.716123105954,21.8412384809898,269,236,263,264,265
"10",574545.529913686,2416506.44783314,105.721429305874,21.8509717227963,266,198,237,224,225
"11",569721.960542025,2432232.05313915,105.675420596648,21.9932348246503,703,645,663,703,663
"12",567384.729547796,2432170.67806395,105.652777641264,21.9927720189289,401,359,412,394,392
"13",575015.050820983,2431769.61512272,105.72667226858,21.9888381093395,350,329,371,350,355
"14",561649.606374554,2430539.00616149,105.597160386935,21.9782430085,340,281,305,340,302
"15",559426.478790626,2428218.63119192,105.575542755487,21.9573573352117,609,576,613,609,603
"16",562651.40380132,2426555.53473783,105.60671095259,21.9422203295745,419,394,421,419,419
"17",565122.153353112,2425585.27025361,105.630597765216,21.9333648108917,198,156,194,198,186
"18",558875.02180595,2423869.35241811,105.570045553498,21.9180837645946,347,306,333,347,331
"19",565997.296742735,2402033.92511229,105.63812729093,21.7205646752679,477,406,430,460,432
"20",570993.345929459,2414929.04272919,105.686986160217,21.8368681235807,137,115,148,126,145
"21",567683.387585127,2416043.82349006,105.655003976069,21.8470694788201,288,176,203,222,200
"22",570543.449134322,2418892.589142,105.682802997011,21.8726931999446,377,295,314,331,326
"23",571894.876009771,2420672.08720973,105.695960946732,21.8887145120607,303,269,299,292,302
"24",568990.054875968,2421924.69810533,105.667895724495,21.9001471233682,267,241,262,261,265
"25",566998.526865001,2421888.82377001,105.64861514499,21.8999001321969,421,386,403,417,407
"26",569953.76345526,2424311.22868585,105.677326856086,21.9216689954795,245,176,200,228,215
"27",573150.457390654,2425278.49180861,105.708320292568,21.9302768336572,286,251,277,267,281
"28",571374.287324655,2427222.72980116,105.691207352179,21.9479142196212,184,135,163,184,161
"29",569682.791830338,2426086.77336921,105.674778929406,21.9377200772367,567,518,551,567,544
"30",572306.05901133,2430428.28686152,105.700372282476,21.9768347962848,218,173,212,213,204
"31",567122.117365693,2426099.1412147,105.649984180221,21.9379317277583,207,159,196,208,189
