"XA","XB","XC","XD","XE","XF","XG","XH","Y_mean"
3.4,4,4.25,3,4.25,3.67,3.5,2,3.38
4.4,4.4,4.25,3,4,4,3.5,2,3.75
4.4,4.2,4.25,3,4.5,4,3.5,2,4
4.2,4.2,4.5,4.5,4.5,4,3.5,2,3.63
4.4,4.2,4,4.5,4,3,2.5,2,3.5
4.4,4.2,4.25,3.5,4.5,3.67,3.5,2,3.5
4.4,4.2,4,3,3.25,3,2.5,2,3.25
4.4,4.2,4.5,3.5,5,3,3,2,3.5
4.2,4.4,4.75,3.5,4.25,3,3,2.5,3.5
4.4,4.6,4.25,3.5,4.5,3,2.5,2,3.25
4,4,4,4,5,5,5,4,4.38
4.4,4.4,3.75,3,4.25,3.67,2.5,2.5,3.63
3.6,4.4,4,3,4.5,2.67,2,1.5,3.25
3.4,4.4,4,5,4.5,2.67,2,2,3.38
3.4,3.8,5,3,4.5,3,3.5,2,3.38
4.6,4.2,5,3,4.5,2.67,2.5,1.5,3.38
4.4,4.2,4.25,3,4.5,3,3.5,2,3.5
4.2,3.6,4.25,3,4.25,4,3.5,2,3.5
3.2,4.2,4.25,4.5,4.5,3.33,3.5,2,3.5
5,5,5,4,5,4,5,4,4.63
3.4,4.4,4.75,3.5,4.5,4.33,3,2,3.5
3.4,4.2,4.5,4.5,4.5,3.33,4.5,3,3.63
5,5,5,4,5,4,5,4,4.63
5,5,5,4,5,4,5,4,4.63
4.8,4.6,4,3.5,4.75,2.67,2.5,2,3.75
4.2,3.6,4.5,3,4.25,2.67,2.5,2,3.25
4.6,4.2,4.5,2.5,4.75,3.67,3.5,2,3.63
4.8,4.4,4.25,3.5,5,3,3.5,2,3.75
4.8,4.4,4.25,3.5,4.5,3.33,2.5,2,3.38
4.2,4.2,4.5,4.5,4.5,4,3.5,2,3.63
4.4,4.6,4.5,2.5,4.25,3.67,3.5,2,3.63
3.6,3.6,4,3,4.25,3.33,2.5,2,3.38
3.6,3.6,3,3,3.75,3.33,3,3,3.38
4.2,4,4,3,4.5,4.67,3.5,3,3.75
4.2,3.6,4.5,3,4.25,2.67,2.5,2,3.25
4.4,4.4,4.25,4.5,4.25,3,2.5,2,3.38
4.4,4.2,4,4.5,4,3,2.5,2,3.5
3.6,3.8,4,3,4.25,3.33,3,2,3.38
3.4,4.6,4.25,4,4.5,4.33,3.5,3,3.88
4.4,4.6,4,3.5,4.25,4,3.5,2,3.75
3.4,4,4.25,3,4.25,3.67,3.5,2,3.38
4.6,4.6,4,3,4.5,3.67,3,4,3.75
4.8,4.4,4.25,3.5,4.5,3.33,2.5,2,3.38
4.4,4.2,4.5,3.5,4.75,3,2,2,3.38
3.4,4.6,4.25,4,4.5,4.33,3.5,3,3.88
4.4,4.4,4.25,3.5,4.5,3.67,3.5,2,3.5
4.6,3.8,3.75,3,3.75,3.67,4,3,3.75
4.4,4.4,4.25,3,4.25,4,3.5,2,3.63
4.4,4.6,4.25,3.5,4.5,3,2.5,2,3.25
4.8,4.6,4,4,4.75,2.67,2.5,2,3.75
4.4,4.2,4,3.5,4.5,3.67,3.5,3,3.63
4.2,4.4,4.5,4.5,5,4,3.5,2.5,4
4.2,4.2,3.5,3.5,4.25,3.33,3.5,2.5,3.5
4.4,4.4,4.25,4.5,4.25,3.33,3.5,3,3.63
4.4,4.4,4.25,3.5,4.25,4.33,3.5,3,3.75
4.4,4.4,4.25,3.5,4.25,3.67,3.5,2.5,3.5
4.4,4.4,3.75,3.5,4.25,3.33,3.5,3.5,3.5
4.4,4.4,4.25,3.5,4.25,4.33,3.5,2,3.63
