Chay_5;Bat_Xa;Luc_Bop;Chay_30m;Con_Thoi;Gap_Bung;Nhom;Gioi_Tinh
1121;223;47.6;4.67;11.69;23;G1;Nam
1212;224;48;4.77;11.77;22;G1;Nam
1114;225;48.1;4.68;11.78;22;G1;Nam
1115;228;47.9;4.71;11.79;23;G1;Nam
1119;227;48.2;4.53;11.76;23;G1;Nam
1124;230;48.1;4.67;11.71;22;G1;Nam
1078;225;47.6;4.76;11.73;23;G1;Nam
1098;231;48;4.56;11.78;23;G1;Nam
1088;223;48.1;4.67;11.79;23;G1;Nam
1095;224;47.9;4.77;11.76;22;G1;Nam
1079;225;48.2;4.68;11.71;23;G1;Nam
1115;228;48.1;4.71;11.73;25;G1;Nam
1106;227;47.9;4.67;11.72;24;G1;Nam
1114;230;47.6;4.68;11.69;23;G1;Nam
1115;229;48;4.69;11.77;22;G1;Nam
1119;227;48.1;4.77;11.78;22;G1;Nam
1124;223;47.9;4.67;11.79;22;G1;Nam
1078;224;48.2;4.59;11.76;23;G1;Nam
1098;225;48.1;4.45;11.71;22;G1;Nam
1088;228;47.5;4.56;11.73;22;G1;Nam
1095;227;47.9;4.67;11.78;22;G1;Nam
1079;230;47.8;4.77;11.79;23;G1;Nam
1115;228;47.9;4.71;11.79;23;G1;Nam
1119;227;48.2;4.53;11.76;23;G1;Nam
1124;230;48.1;4.67;11.71;22;G1;Nam
1078;225;47.6;4.76;11.73;23;G1;Nam
1098;231;48;4.56;11.78;23;G1;Nam
1088;223;48.1;4.67;11.79;23;G1;Nam
1095;224;47.9;4.77;11.76;22;G1;Nam
1079;225;48.2;4.68;11.71;23;G1;Nam
1115;228;48.1;4.71;11.73;25;G1;Nam
1106;227;47.9;4.67;11.72;24;G1;Nam
1098;225;48.1;4.45;11.71;22;G1;Nam
1088;228;47.5;4.56;11.73;22;G1;Nam
1095;227;47.9;4.67;11.78;22;G1;Nam
1079;230;47.8;4.77;11.79;23;G1;Nam
1115;228;47.9;4.71;11.79;23;G1;Nam
1119;227;48.2;4.53;11.76;23;G1;Nam
1124;230;48.1;4.67;11.71;22;G1;Nam
1078;225;47.6;4.76;11.73;23;G1;Nam
1098;231;48;4.56;11.78;23;G1;Nam
1088;223;48.1;4.67;11.79;23;G1;Nam
1095;224;47.9;4.77;11.76;22;G1;Nam
1088;228;47.5;4.56;11.73;22;G1;Nam
1095;227;47.9;4.67;11.78;22;G1;Nam
1079;230;47.8;4.77;11.79;23;G1;Nam
1115;228;47.9;4.71;11.79;23;G1;Nam
1046;209;40.7;5.62;12.38;17;G1;Nam
1048;208;40.7;5.43;12.39;16;G1;Nam
1043;207;40.8;5.36;12.48;17;G1;Nam
1046;208;40.9;5.79;12.45;16;G1;Nam
1044;207;40.7;5.68;12.35;16;G1;Nam
1049;211;40.7;5.76;12.39;16;G1;Nam
1047;213;40.9;5.77;12.29;16;G1;Nam
1045;214;40.7;5.66;12.39;17;G1;Nam
1043;218;40.7;5.76;12.29;16;G1;Nam
1048;205;41;5.62;12.38;17;G1;Nam
1049;207;33.6;5.73;12.45;16;G1;Nam
1043;208;35.7;5.72;12.34;16;G1;Nam
1047;208;35.7;5.75;12.21;17;G1;Nam
1039;209;36.7;5.77;12.43;16;G1;Nam
1049;209;35.8;5.67;12.32;16;G1;Nam
1049;213;40.7;5.68;12.21;17;G1;Nam
1048;208;35.7;5.66;12.45;16;G1;Nam
1043;206;33.6;5.63;12.26;16;G1;Nam
1042;208;35.7;5.63;12.38;17;G1;Nam
1044;209;35.7;5.75;12.39;16;G1;Nam
1049;207;36.7;5.67;12.48;16;G1;Nam
1114;230;47.6;4.21;11.69;23;G2;Nam
1078;227;48.1;4.11;11.72;24;G2;Nam
1115;223;47.9;4.15;11.69;23;G2;Nam
1102;224;48.2;4.23;11.77;22;G2;Nam
1079;225;48.2;4.68;11.71;23;G2;Nam
1115;228;48.1;4.71;11.73;24;G2;Nam
1106;227;47.9;4.15;11.72;23;G2;Nam
1114;230;47.6;4.21;11.69;22;G2;Nam
1078;227;48.1;4.11;11.72;24;G2;Nam
1115;223;47.9;4.15;11.69;23;G2;Nam
1102;224;48.2;4.23;11.77;22;G2;Nam
1108;225;48.1;4.45;11.78;25;G2;Nam
1109;227;48.1;4.56;11.79;23;G2;Nam
1079;225;48.2;4.68;11.71;23;G2;Nam
1115;228;48.1;4.71;11.73;22;G2;Nam
1106;227;47.9;4.15;11.72;24;G2;Nam
1114;230;47.6;4.21;11.69;25;G2;Nam
1078;227;48.1;4.11;11.72;22;G2;Nam
1115;223;47.9;4.15;11.69;24;G2;Nam
1102;224;48.2;4.23;11.77;23;G2;Nam
1108;225;48.1;4.45;11.78;23;G2;Nam
929;189;38.9;5.87;12.85;13;G2;Nam
932;187;34.5;5.92;12.6;12;G2;Nam
934;203;33.5;5.99;12.97;15;G2;Nam
928;201;32.6;5.96;12.89;13;G2;Nam
1039;207;40.7;6.04;12.32;17;G2;Nam
1044;209;40.7;6.15;12.21;16;G2;Nam
1048;215;40.8;5.89;12.45;18;G2;Nam
1043;216;40.7;5.87;12.26;16;G2;Nam
1049;208;35.7;5.91;12.26;17;G2;Nam
1042;214;40.7;5.83;12.38;16;G2;Nam
1044;219;40.7;5.76;12.39;19;G2;Nam
1049;216;40.8;5.59;12.48;16;G2;Nam
1047;217;40.9;5.48;12.45;17;G2;Nam
1048;214;40.7;5.47;12.35;18;G2;Nam
1048;211;40.7;5.57;12.32;16;G2;Nam
1038;209;40.9;5.65;12.43;17;G2;Nam
1039;207;40.7;5.98;12.32;17;G2;Nam
1044;209;40.7;5.87;12.21;16;G2;Nam
1048;215;40.8;5.89;12.45;18;G2;Nam
1043;216;40.7;5.79;12.26;16;G2;Nam
1042;214;40.7;5.98;12.38;16;G2;Nam
1044;219;40.7;6.12;12.39;17;G2;Nam
1049;216;40.8;6.34;12.48;16;G2;Nam
1049;209;35.8;6.23;12.43;16;G2;Nam
1049;213;40.7;5.68;12.32;17;G2;Nam
1044;208;35.7;5.66;12.21;16;G2;Nam
1049;206;33.6;5.63;12.45;16;G2;Nam
1049;208;35.7;5.63;12.26;17;G2;Nam
1042;214;40.7;5.56;12.38;16;G2;Nam
1049;211;40.7;5.76;14.9;16;G2;Nam
1115;227;48.1;4.23;11.76;23;G3;Nam
1119;230;47.6;4.21;11.71;24;G3;Nam
1111;224;48;4.45;11.71;23;G3;Nam
1112;225;48.1;4.56;11.73;23;G3;Nam
1115;228;47.9;4.67;11.78;24;G3;Nam
1088;227;48.2;4.77;11.79;25;G3;Nam
1089;230;48.1;4.68;11.76;22;G3;Nam
1079;229;48;4.22;11.73;23;G3;Nam
1078;227;48.1;4.11;11.72;25;G3;Nam
1115;223;47.9;4.15;11.69;24;G3;Nam
1119;224;48.2;4.23;11.77;25;G3;Nam
1058;225;48.1;4.45;11.78;23;G3;Nam
1115;228;47.9;4.71;11.79;23;G3;Nam
1058;227;48.2;4.53;11.76;23;G3;Nam
1059;230;48.1;4.23;11.71;24;G3;Nam
1078;225;47.6;4.45;11.73;23;G3;Nam
1098;231;48;4.56;11.78;23;G3;Nam
1088;223;48.1;4.67;11.79;23;G3;Nam
1095;224;47.9;4.77;11.76;24;G3;Nam
