"year","age","maritl","race","education","region","jobclass","health","health_ins","logwage","wage"
2006,18," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.31806333496276,75.0431540173515
2004,24," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.25527250510331,70.4760196469445
2003,45," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.8750612633917,130.982177377461
2003,43," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.04139268515823,154.68529299563
2005,50," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.31806333496276,75.0431540173515
2008,54," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.84509804001426,127.115743812184
2009,44," Married"," Other"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.13302127864665,169.528538036679
2008,30," Never Married"," Asian"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",4.7160033436348,111.720849360989
2006,41," Never Married"," Black"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.77815125038364,118.884359339886
2004,52," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.85733249643127,128.680488220624
2007,45," Divorced"," White"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",4.76342799356294,117.146816914805
2007,34," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.39794000867204,81.2832532842527
2005,35," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.49415459401844,89.4924795180001
2003,39," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.90308998699194,134.705375118879
2009,54," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.90308998699194,134.705375118879
2009,51," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.50514997831991,90.4819133566401
2003,37," Never Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.41497334797082,82.6796372966372
2006,50," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",5.36055176170483,212.842352315711
2007,56," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.86102634169657,129.156693004704
2003,37," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.5910646070265,98.5993438603892
2003,38," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",5.30102999566398,200.543262324662
2005,40," Divorced"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",3.92012332629072,50.406660861266
2009,75," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.44715803134222,85.3839403789827
2007,40," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," No",5.07918124604763,160.642475408263
2006,38," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.54406804435028,94.0727147457005
2005,49," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.62618633492728,277.601417511009
2006,43," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.43136376415899,84.0459576539924
2004,34," Married"," Other"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.17609125905568,65.1108537153447
2008,57," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.75587485567249,116.265324062503
2003,18," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.25527250510331,70.4760196469445
2004,55," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.27646180417324,195.676307990453
2005,51," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.61909333062674,101.402052302992
2008,33," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.39794000867204,81.2832532842527
2005,34," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.7160033436348,111.720849360989
2006,36," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.49847596780109,89.8800467811106
2003,56," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",4.47712125471966,87.9810327856054
2006,70," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.47712125471966,87.9810327856054
2004,25," Never Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.64345267648619,103.90247060316
2006,32," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.66275783168157,105.927810775063
2003,27," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.19312459835446,66.2294082943902
2004,28," Married"," Asian"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",3.54406804435028,34.6074177301288
2007,27," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.69897000433602,109.833985642199
2004,43," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",3.81291335664286,45.282169994022
2005,50," Never Married"," Other"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.30102999566398,73.7757432746946
2004,39," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.39794000867204,81.2832532842527
2008,52," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.04139268515823,154.68529299563
2009,35," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.59061783348625,267.901086855275
2007,57," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.17609125905568,176.989650489877
2006,25," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.19312459835446,66.2294082943902
2006,33," Never Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.75587485567249,116.265324062503
2005,57," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",5.30102999566398,200.543262324662
2008,71," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.6232492903979,101.82435207568
2004,43," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.60688524128857,272.294783220064
2003,23," Never Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",3.55630250076729,35.0334213214995
2009,30," Never Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.74036268949424,114.475713290347
2004,22," Never Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.39794000867204,81.2832532842527
2006,59," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",5.30102999566398,200.543262324662
2003,28," Never Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5,148.413159102577
2004,61," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.60205999132796,99.6894636984864
2003,34," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.7160033436348,111.720849360989
2005,43," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.02938377768521,152.838800991182
2006,54," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.76342799356294,117.146816914805
2005,69," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.3533390953113,77.7376033039781
2004,41," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.47712125471966,87.9810327856054
2003,48," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.83250891270624,125.525498433836
2003,49," Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.81491318127507,123.336103962059
2009,42," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.06445798922692,158.294621427791
2003,37," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.30102999566398,200.543262324662
2004,55," Married"," Asian"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.60205999132796,99.6894636984864
2008,21," Never Married"," Black"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.25527250510331,70.4760196469445
2004,58," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.54406804435028,94.0727147457005
2006,31," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.39794000867204,81.2832532842527
2006,25," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.39794000867204,81.2832532842527
2006,32," Never Married"," White"," Some College"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.61278385671974,100.764272842107
2009,40," Never Married"," Black"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.54406804435028,94.0727147457005
2003,44," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",4.60205999132796,99.6894636984864
2003,60," Married"," White"," College Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.59198011410292,268.266292012557
2006,23," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.39794000867204,81.2832532842527
2003,63," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.73239375982297,113.567089569751
2008,44," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.47712125471966,87.9810327856054
2005,47," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," Yes",4.85733249643127,128.680488220624
2004,61," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.67024585307412,106.723977625299
2009,55," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," No",4.19033169817029,66.0446942318056
2003,24," Never Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",3.94200805302231,51.521956314716
2007,42," Widowed"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.44715803134222,85.3839403789827
2006,25," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.34242268082221,76.8936025176112
2004,34," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.50514997831991,90.4819133566401
2009,53," Married"," White"," < HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.22063101944809,68.0764282889521
2009,53," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.8750612633917,130.982177377461
2009,70," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Information"," <=Good"," No",4.85125834871908,127.901232979118
2004,47," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.87691031134463,131.224593755096
2003,46," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.60205999132796,99.6894636984864
2003,33," Divorced"," White"," < HS Grad"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.34242268082221,76.8936025176112
2005,34," Married"," White"," Advanced Degree"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.68124123737559,107.903923866876
2006,22," Never Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," <=Good"," No",4.39794000867204,81.2832532842527
2009,74," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.60205999132796,99.6894636984864
2003,40," Married"," Black"," Some College"," Middle Atlantic"," Information"," <=Good"," Yes",4.5910646070265,98.5993438603892
2006,45," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.30102999566398,200.543262324662
2009,43," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.05307844348342,156.503510882633
2005,33," Married"," Asian"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.97634997900327,144.944364980516
2009,62," Married"," Black"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.77815125038364,118.884359339886
2008,37," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.79934054945358,121.430313822622
2004,54," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.7160033436348,111.720849360989
2005,34," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.23044892137827,68.7480877337669
2008,50," Never Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.74036268949424,114.475713290347
2006,46," Divorced"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.55630250076729,95.2307125669819
2007,41," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.47712125471966,87.9810327856054
2003,63," Divorced"," Black"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.16316137497702,64.2743972206327
2007,38," Married"," White"," Some College"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.85733249643127,128.680488220624
2006,35," Married"," White"," Some College"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.74036268949424,114.475713290347
2009,29," Married"," White"," College Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.72427586960079,112.6488963421
2008,66," Married"," White"," < HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.39794000867204,81.2832532842527
2004,37," Married"," White"," HS Grad"," Middle Atlantic"," Information"," <=Good"," Yes",4.32935719413155,75.8954848228103
2006,39," Married"," Black"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.719720651334,112.136922992214
2003,42," Married"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," No",4.44715803134222,85.3839403789827
2007,51," Divorced"," White"," HS Grad"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",4.54406804435028,94.0727147457005
2009,55," Married"," Asian"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",4.74036268949424,114.475713290347
2006,51," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," >=Very Good"," Yes",5.17609125905568,176.989650489877
2008,38," Married"," White"," Advanced Degree"," Middle Atlantic"," Industrial"," <=Good"," Yes",5.62321723414596,276.778413321176
2005,49," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",4.6232492903979,101.82435207568
2006,42," Married"," White"," HS Grad"," Middle Atlantic"," Information"," >=Very Good"," No",4.51851393987789,91.6992261117042
2009,43," Separated"," White"," < HS Grad"," Middle Atlantic"," Information"," <=Good"," No",4.46239799789896,86.6951548289402
2006,38," Married"," White"," College Grad"," Middle Atlantic"," Information"," >=Very Good"," Yes",5.09342168516223,162.946460744664
