"","X","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X.1","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015"
"1","Afghanistan","..","117.4","187.8","198.7","219.1","250.3","272.6","369.8",NA,"373.4","445.9","553.3","603.5","669.0","631.7","612.1","584.0"
"2","Albania","1,175.8","1,327.0","1,453.6","1,890.7","2,416.6","2,709.1","3,005.0","3,603.0",NA,"4,370.5","4,114.1","4,094.4","4,437.2","4,247.6","4,414.7","4,575.8","3,954.0"
"3","Algeria","1,757.0","1,732.9","1,774.0","2,094.3","2,598.9","3,100.1","3,464.6","3,935.2",NA,"4,905.3","3,868.8","4,463.4","5,432.3","5,564.8","5,471.9","5,470.9","4,132.8"
"4","American Samoa","..","..","8,751.8","8,914.5","8,639.3","8,508.4","8,456.9","8,980.5",NA,"9,872.0","12,058.3","10,352.8","10,376.0","11,660.3","11,553.7","11,508.6","11,541.9"
"5","Andorra","21,435.9","22,037.4","24,518.3","32,438.7","38,256.0","41,186.0","43,667.0","48,510.5",NA,"47,712.3","43,215.7","39,627.7","40,919.2","38,167.1","40,215.4","..",".."
"6","Angola","555.3","526.2","711.2","779.5","1,041.1","1,444.0","2,062.4","2,878.8",NA,"3,868.6","3,347.8","3,529.1","4,299.0","4,598.2","4,804.6","4,709.3","3,695.8"
"7","Antigua and Barbuda","9,875.2","9,358.2","9,386.7","9,739.8","10,352.8","11,371.9","12,724.4","14,252.3",NA,"14,703.3","13,012.5","12,126.9","11,929.3","12,565.4","12,224.9","12,888.3","13,566.9"
"8","Argentina","7,669.3","7,170.7","2,579.2","3,330.4","4,251.6","5,076.9","5,878.8","7,193.6",NA,"8,953.4","8,161.3","10,276.3","12,726.9","12,969.7","12,976.6","12,245.3","13,467.1"
"9","Armenia","622.7","694.4","783.3","930.2","1,192.0","1,643.8","2,158.0","3,138.8",NA,"4,010.0","2,993.8","3,218.4","3,527.0","3,684.8","3,843.6","3,994.7","3,609.7"
"10","Aruba","20,620.7","20,670.7","20,434.3","20,834.5","22,567.8","23,302.8","24,014.9","25,921.0",NA,"27,546.9","24,631.4","24,271.9","25,324.7","..","..","..",".."
"11","Australia","21,690.9","19,517.8","20,081.8","23,465.4","30,472.4","34,016.7","36,118.3","40,992.0",NA,"49,664.7","42,743.0","51,874.1","62,245.1","67,677.6","67,792.3","62,214.6","56,554.0"
"12","Austria","24,517.3","24,489.7","26,351.4","32,102.9","36,693.4","38,242.0","40,431.0","46,586.7",NA,"51,386.4","47,654.2","46,657.1","51,126.7","48,333.6","50,504.7","51,322.6","43,665.0"
"13","Azerbaijan","655.1","703.7","763.1","883.6","1,045.0","1,578.4","2,473.1","3,851.4",NA,"5,574.6","4,950.3","5,842.8","7,189.7","7,496.3","7,875.8","7,891.3","5,500.3"
"14","Bahamas, The","21,241.2","21,497.5","22,506.4","22,009.2","21,996.4","23,405.5","23,719.1","24,301.2",NA,"23,652.3","22,037.1","21,921.6","21,524.0","22,575.6","22,590.4","22,550.2","22,888.1"
"15","Bahrain","13,636.3","12,868.2","13,102.3","14,222.0","15,846.5","17,959.2","19,308.0","20,977.1",NA,"23,067.6","19,356.7","20,722.1","22,810.1","23,649.4","25,010.2","24,983.4","22,688.9"
"16","Bangladesh","405.6","402.6","400.6","432.7","460.8","484.2","494.1","541.1",NA,"615.8","681.1","757.7","835.8","856.3","951.9","1,084.6","1,210.2"
"17","Barbados","11,568.1","11,513.9","11,675.4","12,028.5","12,868.9","14,223.9","15,646.1","16,462.5",NA,"16,570.3","16,523.3","15,905.9","15,534.2","15,384.9","15,472.8","15,359.7","15,557.8"
"18","Belarus","1,276.3","1,244.4","1,479.4","1,819.5","2,378.3","3,126.1","3,848.2","4,735.5",NA,"6,376.2","5,176.2","6,030.4","6,519.7","6,940.2","7,978.8","8,318.4","5,949.1"
"19","Belgium","23,207.4","23,121.6","25,052.3","30,744.0","35,589.7","36,967.3","38,852.4","44,403.8",NA,"48,424.6","44,880.6","44,380.2","47,702.8","44,740.6","46,510.4","47,439.4","40,356.9"
"20","Belize","3,364.4","3,419.3","3,556.6","3,679.9","3,831.5","3,933.3","4,187.4","4,324.9",NA,"4,470.2","4,258.8","4,344.2","4,516.2","4,673.6","4,688.5","4,852.2","4,850.0"
"21","Benin","374.2","378.7","418.7","519.3","583.4","601.8","625.8","706.1",NA,"820.2","793.5","757.7","825.9","838.0","915.3","943.7","783.9"
"22","Bermuda","56,284.2","58,884.0","62,583.1","66,111.7","70,359.3","75,882.0","83,912.7","90,849.6",NA,"93,605.7","88,463.3","88,207.3","85,973.2","85,458.5","85,748.1","..",".."
"23","Bhutan","765.9","807.9","885.6","997.7","1,097.5","1,247.1","1,335.5","1,741.1",NA,"1,795.2","1,770.2","2,178.9","2,458.0","2,422.0","2,350.9","2,522.8","2,613.6"
"24","Bolivia","1,007.0","958.2","913.6","917.4","978.3","1,046.4","1,233.6","1,389.6",NA,"1,736.9","1,776.9","1,981.2","2,377.7","2,645.2","2,947.9","3,124.0","3,077.0"
"25","Bosnia and Herzegovina","1,461.8","1,524.4","1,761.5","2,214.7","2,650.6","2,968.4","3,404.3","4,180.3",NA,"5,075.3","4,697.8","4,611.5","5,050.2","4,716.7","5,035.9","5,193.9","4,574.1"
"26","Botswana","3,349.1","3,128.1","3,055.6","4,163.1","4,896.6","5,351.3","5,374.6","5,714.0",NA,"5,623.4","5,185.7","6,346.2","7,645.2","7,029.2","7,007.6","7,497.8","6,532.1"
"27","Brazil","3,739.1","3,147.0","2,819.6","3,059.6","3,623.0","4,770.2","5,860.1","7,313.6",NA,"8,787.6","8,553.4","11,224.2","13,167.5","12,291.5","12,216.9","12,026.6","8,757.2"
"28","British Virgin Islands","..","..","..","..","..","..","..","..",NA,"..","..","..","..","..","..","..",".."
"29","Brunei Darussalam","18,008.4","16,468.1","16,846.0","18,555.6","21,896.6","26,102.1","30,981.0","32,672.4",NA,"37,951.3","27,965.5","35,268.1","47,017.0","47,651.3","44,597.3","41,590.9","30,967.9"
"30","Bulgaria","1,609.3","1,764.9","2,087.5","2,710.5","3,381.5","3,893.7","4,513.1","5,932.9",NA,"7,296.1","6,956.0","6,843.3","7,813.8","7,378.0","7,674.9","7,853.3","6,993.5"
"31","Burkina Faso","226.5","235.5","260.8","332.3","371.3","407.0","422.6","475.1",NA,"569.8","552.7","575.4","666.8","673.8","699.0","705.1","615.6"
"32","Burundi","136.0","133.7","122.4","112.8","127.4","150.5","165.9","170.8",NA,"196.2","204.9","231.2","260.5","265.3","282.8","312.7","303.7"
"33","Cabo Verde","1,239.4","1,268.9","1,373.5","1,768.9","1,976.5","2,048.1","2,304.3","3,112.3",NA,"3,638.9","3,444.6","3,312.8","3,670.4","3,408.5","3,558.8","3,529.6","2,954.1"
"34","Cambodia","300.7","321.2","339.1","362.4","408.6","474.2","539.9","631.7",NA,"745.8","738.2","785.7","882.5","950.0","1,028.4","1,098.7","1,163.2"
"35","Cameroon","608.0","614.7","676.4","824.9","930.2","952.2","1,003.0","1,110.7",NA,"1,233.5","1,203.2","1,182.9","1,295.6","1,255.6","1,365.3","1,441.1","1,244.4"
"36","Canada","24,124.2","23,691.6","24,167.8","28,172.1","31,979.9","36,189.6","40,386.7","44,544.5",NA,"46,596.3","40,773.5","47,447.5","52,082.2","52,496.7","52,413.7","50,440.4","43,315.7"
"37","Cayman Islands","..","..","..","..","..","..","64,100.9","..",NA,"..","..","..","..","..","..","..",".."
