 ;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;;2014;2015
Afghanistan;55.1;55.5;55.9;56.2;56.6;57.0;57.4;57.8;58.2;58.6;59.0;59.3;59.7;60.0;;60.4;60.7
Albania;74.3;74.7;75.2;75.5;75.8;76.1;76.3;76.5;76.7;76.8;77.0;77.2;77.4;77.6;;77.8;78.0
Algeria;70.2;70.6;71.0;71.4;71.8;72.2;72.6;72.9;73.2;73.5;73.8;74.1;74.3;74.6;;74.8;75.0
American Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;..;..
Andorra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;..;..
Angola;45.2;46.0;46.7;47.4;48.0;48.5;49.0;49.4;49.8;50.3;50.7;51.1;51.5;51.9;;52.3;52.7
Antigua and Barbuda;73.4;73.6;73.8;74.0;74.2;74.4;74.6;74.8;75.0;75.1;75.3;75.5;75.6;75.8;;75.9;76.1
Argentina;73.8;74.0;74.2;74.3;74.5;74.7;74.8;75.0;75.2;75.3;75.5;75.6;75.8;76.0;;76.2;76.3
Armenia;71.3;71.8;72.2;72.6;73.0;73.3;73.5;73.8;73.9;74.1;74.2;74.3;74.5;74.6;;74.7;74.8
Aruba;73.7;73.8;73.9;74.0;74.1;74.2;74.4;74.5;74.7;74.8;75.0;75.1;75.2;75.3;;75.5;75.6
Australia;79.2;79.6;79.9;80.2;80.5;80.8;81.0;81.3;81.4;81.5;81.7;81.9;82.0;82.1;;82.3;82.5
Austria;78.1;78.6;78.7;78.6;79.2;79.3;79.9;80.2;80.4;80.3;80.6;81.0;80.9;81.1;;81.5;81.8
Azerbaijan;66.8;67.2;67.6;68.0;68.5;68.9;69.4;69.8;70.1;70.3;70.5;70.6;70.6;70.7;;70.8;70.8
Bahamas, The;72.3;72.5;72.8;73.1;73.4;73.6;73.9;74.1;74.2;74.4;74.6;74.8;74.9;75.1;;75.2;75.4
Bahrain;74.6;74.8;75.0;75.1;75.3;75.4;75.6;75.7;75.8;76.0;76.1;76.3;76.4;76.5;;76.7;76.8
Bangladesh;65.3;65.9;66.5;67.0;67.5;68.0;68.4;68.9;69.3;69.7;70.1;70.5;70.9;71.2;;71.6;72.0
Barbados;73.2;73.4;73.5;73.7;73.9;74.0;74.2;74.4;74.5;74.7;74.8;75.0;75.2;75.3;;75.5;75.7
Belarus;68.9;68.5;68.1;68.6;69.0;68.9;69.4;70.2;70.5;70.4;70.4;70.6;72.0;72.5;;73.0;73.6
Belgium;77.7;78.0;78.1;78.1;78.9;79.0;79.4;79.8;79.7;80.0;80.2;80.6;80.4;80.6;;81.3;81.3
Belize;68.4;68.4;68.5;68.7;68.9;69.1;69.3;69.5;69.6;69.7;69.8;69.8;69.9;70.0;;70.1;70.2
Benin;55.2;55.5;55.8;56.2;56.6;57.1;57.5;57.9;58.2;58.5;58.7;58.9;59.1;59.3;;59.5;59.7
Bermuda;77.9;77.9;78.1;78.3;78.5;78.7;78.9;78.9;79.2;79.4;79.3;81.2;81.7;80.6;;80.8;81.0
Bhutan;60.7;61.5;62.4;63.3;64.1;64.9;65.6;66.3;66.9;67.4;67.9;68.3;68.7;69.1;;69.5;69.8
Bolivia;60.7;61.3;61.8;62.4;63.0;63.5;64.1;64.7;65.3;65.8;66.4;66.9;67.4;67.9;;68.3;68.7
Bosnia and Herzegovina;74.3;74.5;74.7;74.8;75.0;75.1;75.2;75.4;75.5;75.7;75.8;76.0;76.1;76.3;;76.4;76.6
Botswana;48.7;48.6;49.2;50.5;52.4;54.6;56.9;59.1;61.0;62.4;63.4;64.0;64.2;64.4;;64.4;64.5
Brazil;70.0;70.5;70.8;71.2;71.5;71.8;72.1;72.4;72.7;73.0;73.3;73.6;73.8;74.1;;74.4;74.7
British Virgin Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;..;..
Brunei Darussalam;75.3;75.5;75.7;75.8;76.0;76.2;76.4;76.7;77.0;77.3;77.6;77.9;78.3;78.5;;78.8;79.0
Bulgaria;71.7;71.8;71.9;72.1;72.6;72.6;72.6;72.7;73.0;73.4;73.5;74.2;74.3;74.9;;74.5;74.5
Burkina Faso;50.3;50.8;51.3;52.0;52.8;53.6;54.4;55.2;55.9;56.5;57.1;57.5;57.9;58.2;;58.6;58.9
Burundi;51.5;51.7;51.9;52.1;52.4;52.7;53.1;53.5;53.9;54.4;54.8;55.3;55.8;56.3;;56.7;57.1
Cabo Verde;69.7;70.1;70.4;70.8;71.2;71.5;71.8;72.1;72.3;72.5;72.6;72.7;72.8;73.0;;73.1;73.4
Cambodia;58.4;59.2;60.2;61.1;62.1;63.0;63.8;64.6;65.2;65.8;66.4;66.9;67.3;67.8;;68.2;68.7
Cameroon;51.9;51.8;51.7;51.6;51.7;51.9;52.2;52.5;52.9;53.3;53.7;54.1;54.6;55.0;;55.5;55.9
Canada;79.2;79.5;79.6;79.8;80.1;80.3;80.3;80.5;80.7;80.9;81.2;81.4;81.6;81.8;;82.0;82.1
Cayman Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;;..;..
Central African Republic;44.6;44.4;44.3;44.3;44.4;44.7;45.2;45.7;46.3;46.9;47.6;48.4;49.1;49.9;;50.7;51.4
Chad;47.6;47.6;47.6;47.7;47.8;48.0;48.2;48.6;49.0;49.4;49.9;50.3;50.8;51.2;;51.6;51.9
Channel Islands;77.5;77.8;78.1;78.3;78.6;78.9;79.2;79.4;79.6;79.8;80.0;80.2;80.3;80.5;;80.6;80.8
Chile;76.8;77.2;77.6;77.9;78.3;78.6;79.0;79.3;79.6;80.0;80.3;80.6;80.9;81.2;;81.5;81.8
China;71.7;72.2;72.6;73.0;73.4;73.8;74.1;74.3;74.6;74.8;75.0;75.2;75.4;75.6;;75.8;76.0
Colombia;71.0;71.3;71.5;71.8;72.0;72.3;72.5;72.7;72.9;73.1;73.3;73.5;73.6;73.8;;74.0;74.2
Comoros;59.4;59.5;59.6;59.7;59.9;60.1;60.4;60.7;61.1;61.4;61.8;62.2;62.6;62.9;;63.3;63.6
Congo, Dem. Rep.;50.0;50.6;51.3;52.1;52.9;53.6;54.4;55.1;55.7;56.3;56.9;57.4;57.9;58.3;;58.7;59.0
Congo, Rep.;50.6;50.8;51.2;51.8;52.6;53.6;54.6;55.8;57.0;58.1;59.1;60.1;60.9;61.7;;62.3;62.9
Costa Rica;77.4;77.6;77.7;77.8;78.0;78.1;78.2;78.3;78.5;78.6;78.7;78.9;79.1;79.2;;79.4;79.6
Cote d'Ivoire;46.7;46.6;46.7;46.9;47.3;47.8;48.3;48.8;49.3;49.7;50.2;50.5;50.9;51.2;;51.6;51.9
