"","LN.5years.","Code","Values"
"1","1995","X000001",NA
"2","1996","X000001",NA
"3","1997","X000001",NA
"4","1998","X000001",NA
"5","1999","X000001",NA
"6","2000","X000001","-4.941044621"
"7","2001","X000001","-4.604963392"
"8","2002","X000001","-4.569149096"
"9","2003","X000001","-4.920945218"
"10","2004","X000001","-5.414842259"
"11","2005","X000001","-5.992953777"
"12","2006","X000001","-6.798068317"
"13","2007","X000001","-6.143525337"
"14","2008","X000001","-5.583380616"
"15","2009","X000001","-5.571183688"
"16","2010","X000001","-5.486390682"
"17","2011","X000001","-5.548781981"
"18","2012","X000001","-5.528802521"
"19","2013","X000001","-5.517975968"
"20","2014","X000001","-8.466992593"
"21","2015","X000001","-7.378885859"
"22","1995","X000002",NA
"23","1996","X000002",NA
"24","1997","X000002",NA
"25","1998","X000002",NA
"26","1999","X000002",NA
"27","2000","X000002","-5.496952383"
"28","2001","X000002","-4.936743411"
"29","2002","X000002","-4.618439191"
"30","2003","X000002","-4.742041772"
"31","2004","X000002","-5.0481376"
"32","2005","X000002","-4.584375694"
"33","2006","X000002","-4.388247211"
"34","2007","X000002","-4.398121177"
"35","2008","X000002","-4.810591906"
"36","2009","X000002","-4.138926827"
"37","2010","X000002","-4.160365396"
"38","2011","X000002","-4.355883839"
"39","2012","X000002","-4.363797881"
"40","2013","X000002","-5.143425275"
"41","2014","X000002","-4.88732253"
"42","2015","X000002","-5.309867814"
"43","1995","X000003",""
"44","1996","X000003",""
"45","1997","X000003",""
"46","1998","X000003",""
"47","1999","X000003",""
"48","2000","X000003","-3.097089375"
"49","2001","X000003","-2.279252885"
"50","2002","X000003","-2.225139403"
"51","2003","X000003","-2.179890078"
"52","2004","X000003","-1.977180871"
"53","2005","X000003","-1.664621063"
"54","2006","X000003","#DIV/0!"
"55","2007","X000003","#DIV/0!"
"56","2008","X000003","#DIV/0!"
"57","2009","X000003","#DIV/0!"
"58","2010","X000003","#DIV/0!"
"59","2011","X000003","#DIV/0!"
"60","2012","X000003","#DIV/0!"
"61","2013","X000003","#DIV/0!"
"62","2014","X000003","#DIV/0!"
"63","2015","X000003","#DIV/0!"
"64","1995","X000004",NA
"65","1996","X000004",NA
"66","1997","X000004",NA
"67","1998","X000004",NA
"68","1999","X000004",NA
"69","2000","X000004","-2.086057732"
"70","2001","X000004","-2.048624075"
"71","2002","X000004","-2.1186051"
"72","2003","X000004","-2.156730301"
"73","2004","X000004","-4.11652562"
"74","2005","X000004","-3.337060392"
"75","2006","X000004","-2.449278422"
"76","2007","X000004","-2.415972344"
"77","2008","X000004","-2.436569112"
"78","2009","X000004","-2.557008705"
"79","2010","X000004","-2.341768809"
"80","2011","X000004","-2.215223123"
"81","2012","X000004","-2.176408523"
"82","2013","X000004","-2.373905504"
"83","2014","X000004","-3.021250882"
"84","2015","X000004","-2.806840028"
"85","1995","X000005",NA
"86","1996","X000005",NA
"87","1997","X000005",NA
"88","1998","X000005",NA
"89","1999","X000005",NA
"90","2000","X000005","-3.212538827"
"91","2001","X000005","-3.04985921"
"92","2002","X000005","-2.82408634"
"93","2003","X000005","-3.136651378"
"94","2004","X000005","-3.620807423"
"95","2005","X000005","-3.883452331"
"96","2006","X000005","-3.152650086"
"97","2007","X000005","-2.941068032"
"98","2008","X000005","-2.699397768"
"99","2009","X000005","-2.6986275"
"100","2010","X000005","-2.679679831"
"101","2011","X000005","-3.248651981"
"102","2012","X000005","-3.171872195"
"103","2013","X000005","-3.621529676"
"104","2014","X000005","-3.621354687"
"105","2015","X000005","-3.312373075"
"106","1995","X000006",NA
"107","1996","X000006",NA
"108","1997","X000006",NA
