"","LN","Code","Values"
"1","1995","X000001",""
"2","1996","X000001",""
"3","1997","X000001",""
"4","1998","X000001",""
"5","1999","X000001",""
"6","2000","X000001","#N/A"
"7","2001","X000001","#N/A"
"8","2002","X000001","#N/A"
"9","2003","X000001","-3.224423317"
"10","2004","X000001","-2.918555104"
"11","2005","X000001","-3.026861541"
"12","2006","X000001","-2.880076594"
"13","2007","X000001","-3.513144244"
"14","2008","X000001","-3.542131543"
"15","2009","X000001","-3.568908001"
"16","2010","X000001","-3.487689029"
"17","2011","X000001","-4.386924901"
"18","2012","X000001","-3.594301173"
"19","2013","X000001","-3.076887745"
"20","2014","X000001","-3.0776027"
"21","2015","X000001","-3.029280754"
"22","1995","X000002",""
"23","1996","X000002",""
"24","1997","X000002",""
"25","1998","X000002",""
"26","1999","X000002",""
"27","2000","X000002","#N/A"
"28","2001","X000002","#N/A"
"29","2002","X000002","#N/A"
"30","2003","X000002","-2.313702623"
"31","2004","X000002","-2.197373249"
"32","2005","X000002","-2.062838247"
"33","2006","X000002","-2.031895128"
"34","2007","X000002","-2.325799214"
"35","2008","X000002","-2.249002775"
"36","2009","X000002","-2.442940277"
"37","2010","X000002","-2.455488979"
"38","2011","X000002","-2.511439239"
"39","2012","X000002","-2.588872649"
"40","2013","X000002","-3.426887039"
"41","2014","X000002","-3.452257392"
"42","2015","X000002","-3.285979864"
"43","1995","X000003",""
"44","1996","X000003",""
"45","1997","X000003",""
"46","1998","X000003",""
"47","1999","X000003",""
"48","2000","X000003","#N/A"
"49","2001","X000003","#N/A"
"50","2002","X000003","#N/A"
"51","2003","X000003","-3.344068822"
"52","2004","X000003","-3.141690294"
"53","2005","X000003","-3.084799202"
"54","2006","X000003","#DIV/0!"
"55","2007","X000003","#DIV/0!"
"56","2008","X000003","#DIV/0!"
"57","2009","X000003","#DIV/0!"
"58","2010","X000003","#DIV/0!"
"59","2011","X000003","#DIV/0!"
"60","2012","X000003","#DIV/0!"
"61","2013","X000003","#DIV/0!"
"62","2014","X000003","#DIV/0!"
"63","2015","X000003","#DIV/0!"
"64","1995","X000004",""
"65","1996","X000004",""
"66","1997","X000004",""
"67","1998","X000004",""
"68","1999","X000004",""
"69","2000","X000004","#N/A"
"70","2001","X000004","#N/A"
"71","2002","X000004","#N/A"
"72","2003","X000004","-2.009559489"
"73","2004","X000004","-2.007975811"
"74","2005","X000004","-2.235515195"
"75","2006","X000004","-2.256720699"
"76","2007","X000004","-2.247682098"
"77","2008","X000004","-2.69522123"
"78","2009","X000004","-2.76876807"
"79","2010","X000004","-1.869136957"
"80","2011","X000004","-1.80575443"
"81","2012","X000004","-1.810635231"
"82","2013","X000004","-1.908251181"
"83","2014","X000004","-1.742561753"
"84","2015","X000004","-2.137524882"
"85","1995","X000005",""
"86","1996","X000005",""
"87","1997","X000005",""
"88","1998","X000005",""
"89","1999","X000005",""
"90","2000","X000005","#N/A"
"91","2001","X000005","#N/A"
"92","2002","X000005","#N/A"
"93","2003","X000005","-4.380633411"
"94","2004","X000005","-4.445153823"
"95","2005","X000005","-3.949650376"
"96","2006","X000005","-3.957472132"
"97","2007","X000005","-4.061939945"
"98","2008","X000005","-4.327410468"
"99","2009","X000005","-3.058651315"
"100","2010","X000005","-3.127165269"
"101","2011","X000005","-3.13998065"
"102","2012","X000005","-3.051315528"
"103","2013","X000005","-2.500126845"
"104","2014","X000005","-2.480525094"
"105","2015","X000005","-2.473542614"
"106","1995","X000006",""
"107","1996","X000006",""
"108","1997","X000006",""
"109","1998","X000006",""
"110","1999","X000006",""
"111","2000","X000006","#N/A"
"112","2001","X000006","#N/A"
"113","2002","X000006","#N/A"
"114","2003","X000006","-3.345908506"
"115","2004","X000006","-3.195324529"
"116","2005","X000006","-3.142331947"
"117","2006","X000006","-2.955727866"
"118","2007","X000006","-2.993487322"
"119","2008","X000006","-2.153862377"
"120","2009","X000006","-1.789228276"
"121","2010","X000006","-1.800511067"
"122","2011","X000006","-1.762782866"
"123","2012","X000006","-1.695935167"
"124","2013","X000006","-1.619526339"
"125","2014","X000006","-1.900994602"
"126","2015","X000006","-1.722485847"
"127","1995","X000007",""
"128","1996","X000007",""
"129","1997","X000007",""
"130","1998","X000007",""
"131","1999","X000007",""
"132","2000","X000007","#N/A"
"133","2001","X000007","#N/A"
"134","2002","X000007","#N/A"
"135","2003","X000007","-3.794964189"
"136","2004","X000007","-3.703825"
"137","2005","X000007","-3.687069601"
"138","2006","X000007","-2.714479115"
"139","2007","X000007","-2.714139117"
"140","2008","X000007","-2.526791184"
"141","2009","X000007","-2.73680364"
"142","2010","X000007","-2.392023728"
"143","2011","X000007","-2.53236447"
"144","2012","X000007","-2.317496159"
"145","2013","X000007","-1.525536391"
"146","2014","X000007","-1.139266329"
"147","2015","X000007","-1.142737007"
"148","1995","X000008",""
"149","1996","X000008",""
"150","1997","X000008",""
"151","1998","X000008",""
"152","1999","X000008",""
"153","2000","X000008","#N/A"
"154","2001","X000008","#N/A"
"155","2002","X000008","#N/A"
"156","2003","X000008","-3.582882346"
"157","2004","X000008","-1.763337256"
"158","2005","X000008","-1.662803757"
"159","2006","X000008","-1.629119551"
"160","2007","X000008","-1.665160332"
"161","2008","X000008","-1.704353314"
"162","2009","X000008","-2.019985264"
"163","2010","X000008","-2.629209623"
"164","2011","X000008","-2.512024177"
"165","2012","X000008","-2.418894262"
"166","2013","X000008","-2.518250117"
"167","2014","X000008","-2.433143283"
"168","2015","X000008","-2.371958041"
"169","1995","X000009",""
"170","1996","X000009",""
"171","1997","X000009",""
"172","1998","X000009",""
"173","1999","X000009",""
"174","2000","X000009","#N/A"
"175","2001","X000009","#N/A"
"176","2002","X000009","#N/A"
"177","2003","X000009","-3.315050448"
"178","2004","X000009","-3.670012872"
"179","2005","X000009","-4.044230618"
"180","2006","X000009","-3.189803126"
"181","2007","X000009","-3.197229797"
"182","2008","X000009","-2.969773079"
"183","2009","X000009","-2.97463011"
"184","2010","X000009","-2.912210034"
"185","2011","X000009","-2.618176696"
"186","2012","X000009","-2.470321746"
"187","2013","X000009","-2.473965822"
"188","2014","X000009","-2.568491548"
"189","2015","X000009","-2.888147696"
"190","1995","X000010",""
"191","1996","X000010",""
"192","1997","X000010",""
"193","1998","X000010",""
"194","1999","X000010",""
"195","2000","X000010","#N/A"
"196","2001","X000010","#N/A"
"197","2002","X000010","#N/A"
"198","2003","X000010","-2.364387948"
"199","2004","X000010","-2.000697723"
"200","2005","X000010","-1.568652953"
"201","2006","X000010","-1.64173484"
"202","2007","X000010","-1.597943924"
"203","2008","X000010","-1.605769867"
"204","2009","X000010","-1.837248994"
"205","2010","X000010","-2.758206709"
"206","2011","X000010","-2.726808416"
"207","2012","X000010","-2.936738914"
"208","2013","X000010","-3.227664357"
"209","2014","X000010","-3.351759695"
"210","2015","X000010","-2.033474896"
"211","1995","X000011",""
"212","1996","X000011",""
"213","1997","X000011",""
"214","1998","X000011",""
"215","1999","X000011",""
"216","2000","X000011","#N/A"
"217","2001","X000011","#N/A"
"218","2002","X000011","#N/A"
"219","2003","X000011","-2.748145867"
"220","2004","X000011","-2.725750069"
"221","2005","X000011","-2.722100426"
"222","2006","X000011","-2.779951895"
"223","2007","X000011","-2.35737762"
"224","2008","X000011","-2.225417621"
"225","2009","X000011","-2.237648521"
"226","2010","X000011","-1.642696875"
"227","2011","X000011","-1.638524873"
"228","2012","X000011","-1.603555192"
"229","2013","X000011","-1.542742767"
"230","2014","X000011","-1.566878375"
"231","2015","X000011","-1.958794421"
"232","1995","X000012",""
"233","1996","X000012",""
"234","1997","X000012",""
"235","1998","X000012",""
"236","1999","X000012",""
"237","2000","X000012","#N/A"
"238","2001","X000012","#N/A"
"239","2002","X000012","#N/A"
"240","2003","X000012","-3.573643706"
"241","2004","X000012","-4.425271152"
"242","2005","X000012","-4.533019827"
"243","2006","X000012","-3.781441203"
"244","2007","X000012","-3.77630513"
"245","2008","X000012","-3.878724644"
"246","2009","X000012","-3.67759432"
"247","2010","X000012","-3.631431048"
"248","2011","X000012","-3.349720812"
"249","2012","X000012","-3.27632664"
"250","2013","X000012","-3.241993957"
"251","2014","X000012","-3.265495571"
"252","2015","X000012","-3.171741905"
"253","1995","X000013",""
"254","1996","X000013",""
"255","1997","X000013",""
"256","1998","X000013",""
"257","1999","X000013",""
"258","2000","X000013","#N/A"
"259","2001","X000013","#N/A"
"260","2002","X000013","#N/A"
"261","2003","X000013","-5.322441323"
"262","2004","X000013","-4.910839673"
"263","2005","X000013","-4.800436987"
"264","2006","X000013","-4.677987816"
"265","2007","X000013","-4.353561653"
"266","2008","X000013","#DIV/0!"
"267","2009","X000013","#DIV/0!"
"268","2010","X000013","#DIV/0!"
"269","2011","X000013","#DIV/0!"
"270","2012","X000013","#DIV/0!"
"271","2013","X000013","#DIV/0!"
"272","2014","X000013","#DIV/0!"
"273","2015","X000013","#DIV/0!"
"274","1995","X000014",""
"275","1996","X000014",""
"276","1997","X000014",""
"277","1998","X000014",""
"278","1999","X000014",""
"279","2000","X000014","#N/A"
"280","2001","X000014","#N/A"
"281","2002","X000014","#N/A"
"282","2003","X000014","-2.911623144"
"283","2004","X000014","-2.278607951"
"284","2005","X000014","-2.24290745"
"285","2006","X000014","-2.136651321"
"286","2007","X000014","-1.762945262"
"287","2008","X000014","-1.790410472"
