A1;A2;A3;A4;A5;B1;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;B13;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;D1;D2;D3;D4;D5;D6;D7;D8;F1;F2;F3
2;5;7;6;8;3;3;3;3;2;3;3;2;3;3;3;2;2;2;3;3;3;3;2;2;2;2;2;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;3;3;3;2;2;3;3;2;2;1
2;3;5;7;9;3;3;3;3;2;3;3;3;3;3;3;3;2;2;3;3;3;2;3;3;2;2;3;3;2;2;3;3;3;3;2;2;3;2;3;3;3;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;2;2;2;3;3;3;3;1
2;3;5;7;6;3;3;3;3;2;2;3;3;3;3;3;3;2;2;3;3;3;3;2;2;2;2;3;3;2;3;3;3;3;3;3;3;2;2;2;2;3;3;3;2;2;3;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;3;1
2;5;3;9;12;3;3;3;2;3;3;3;2;3;3;3;3;2;2;3;3;3;3;3;3;2;2;3;3;3;3;3;3;2;3;3;3;3;2;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;1
1;3;5;7;6;3;3;3;3;2;3;3;3;3;3;2;3;2;2;3;3;3;3;2;2;2;2;3;3;2;3;3;3;3;3;3;2;3;3;3;2;2;2;3;3;3;2;2;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3;3;3;1
2;5;7;6;3;3;3;3;3;2;2;2;3;3;3;3;3;2;2;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;2;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;2;3;3;3;3;1
3;5;6;9;12;3;3;3;3;2;3;3;3;3;3;3;2;3;2;2;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;2;2;2;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;1
1;5;3;6;8;2;2;2;2;3;3;2;3;3;3;3;2;3;2;2;3;3;3;1;2;2;2;3;2;2;3;3;2;3;2;2;2;3;3;3;2;3;3;2;2;3;3;3;3;3;2;2;2;3;3;3;3;3;3;2;3;3;3;2;3;1
2;3;6;5;10;3;3;3;2;3;3;2;3;3;3;2;3;2;2;2;3;3;3;2;2;2;2;3;3;3;2;3;3;3;3;3;2;2;2;2;2;3;3;2;2;3;3;3;3;3;3;2;3;3;3;3;3;3;2;2;3;3;3;3;3;1
1;5;8;6;0;3;3;3;2;3;3;3;3;2;2;3;3;2;2;2;3;3;3;3;2;2;2;3;3;3;3;3;2;2;2;2;3;3;3;2;2;3;3;3;3;3;3;2;2;3;3;3;3;2;3;3;3;3;2;2;3;3;3;3;3;1
