A1;A2;A3;A4;A5;B1;B2;B3;B4;B5;B6;B7;B8;B9;C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;D1;D2;D3;D4;D5;D6;D7;D8;D9;F1;F2;F3;F4;F5
5;8;12;17;20;2;2;2;3;3;3;3;2;2;1;2;2;1;1;2;2;1;3;2;2;2;2;3;3;2;2;2;3;3;2;1;1;1;1;2;2;2;2;3;3;3;2;3;3;3;2;3;3;3;3;2;3;3;3;3;3
5;8;15;17;19;2;2;2;3;3;3;3;3;2;2;2;3;2;1;2;2;1;3;2;2;2;2;3;3;2;2;2;2;3;2;1;1;1;1;2;2;2;2;3;3;3;2;3;3;2;2;3;3;3;3;2;3;2;3;3;3
10;15;17;10;18;2;2;2;3;3;3;3;3;2;1;2;3;2;2;3;3;2;3;2;3;2;3;3;3;3;3;3;2;3;2;1;1;1;1;1;2;2;2;2;3;3;2;3;3;3;2;3;3;2;3;2;3;3;3;3;3
5;5;10;15;20;2;2;2;3;3;3;2;3;2;2;3;3;2;2;3;3;2;3;2;3;3;2;3;2;2;3;2;2;3;2;1;1;1;1;1;2;2;2;3;3;3;2;3;3;2;2;3;3;3;3;3;3;3;3;3;3
1;5;8;12;19;2;2;3;3;3;3;3;3;2;1;3;3;2;3;2;2;3;3;3;1;1;2;3;3;3;3;3;3;3;3;1;1;1;1;1;2;2;2;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3
3;5;4;6;3;2;2;2;3;3;3;3;3;2;1;3;3;3;2;3;3;3;2;2;1;1;1;3;3;3;3;3;3;3;2;2;1;1;2;1;1;2;2;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3
1;2;4;7;5;2;2;3;3;3;3;3;3;2;1;3;3;3;2;2;;3;3;2;1;1;1;2;3;3;3;3;3;3;2;1;1;1;2;2;2;2;2;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;3
3;6;7;9;15;2;2;2;3;3;3;3;3;3;1;3;3;3;1;2;3;3;2;1;1;1;2;3;3;3;3;3;3;3;2;1;2;2;2;1;1;2;2;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;2;3;3
1;4;3;9;10;2;2;2;3;3;3;3;3;2;1;3;3;2;2;3;3;3;2;1;1;2;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;2;3;3;3;2;3;3;3;3
1;5;3;6;11;2;2;2;3;3;3;3;3;2;1;2;3;2;1;3;3;3;2;2;2;3;2;3;3;3;3;3;3;3;1;1;1;1;1;2;2;2;2;2;3;3;3;3;2;3;3;3;3;2;3;3;2;3;3;3;3
3;2;7;10;15;2;2;2;3;3;3;3;3;2;1;3;3;3;1;3;3;3;2;2;2;3;3;3;3;2;3;3;3;3;2;1;1;1;2;2;1;2;2;3;3;3;3;3;3;3;2;3;3;2;3;3;2;2;3;3;3
