DamID,LambID,Rank,Sex,BirthWeight,Feed,Shorn,Datebirth,DamAge
177/94,4,Twin,female,3.75,MH,1,12-Aug,2
177/94,5,Twin,female,3.65,MH,1,12-Aug,2
548/93,6,Twin,female,3.6,HM,0,12-Aug,2
548/93,7,Twin,female,4.2,HM,0,12-Aug,2
531/93,8,Single,male,6.05,MH,0,13-Aug,3
15/95,9,Twin,female,4.05,MH,1,13-Aug,2
15/95,10,Twin,female,4.03,MH,1,13-Aug,2
169/94,11,Single,male,5.1,MH,0,13-Aug,8
315/94,12,Single,male,6.7,MH,0,14-Aug,3
90/94,16,Single,male,6.1,HM,1,14-Aug,3
34/94,17,Twin,female,5.2,MH,0,14-Aug,3
34/94,18,Twin,male,5.6,MH,0,14-Aug,3
66/94,19,Single,male,5.2,MH,0,14-Aug,3
306/95,20,Twin,male,3,MH,1,15-Aug,4
156/94,21,Twin,male,5.8,MH,0,15-Aug,4
156/94,22,Twin,male,2.75,MH,0,19-Aug,4
264/94,22,Single,female,5.5,HH,1,15-Aug,8
424/93,23,Single,male,5.5,HM,1,15-Aug,4
177/95,24,Twin,male,5.05,MH,0,15-Aug,4
177/95,25,Twin,male,5,MH,0,15-Aug,4
599/93,26,Twin,female,4.6,MH,1,15-Aug,4
599/93,27,Twin,female,5.5,MH,1,15-Aug,4
39/93,28,Single,female,4.5,MH,0,15-Aug,4
573/95,29,Single,male,6.25,HM,0,15-Aug,4
306/95,30,Twin,male,1.5,MH,1,15-Aug,2
150/95,31,Twin,male,5.5,MH,0,15-Aug,4
150/95,32,Twin,male,4.75,MH,0,15-Aug,4
102/95,33,Twin,male,4.25,HM,1,15-Aug,4
102/95,34,Twin,male,5.5,HM,1,15-Aug,4
62/95,35,Single,male,5.7,HM,1,15-Aug,4
111/95,36,Twin,female,4.6,MH,1,15-Aug,4
111/95,37,Twin,female,4.1,MH,1,15-Aug,4
357/95,38,Twin,female,4,HM,0,15-Aug,4
357/95,39,Twin,male,4.5,HM,0,15-Aug,4
220/94,40,Twin,female,5.2,HM,1,15-Aug,4
220/94,41,Twin,female,4.7,HM,1,15-Aug,4
430/93,42,Single,male,5.7,HM,0,15-Aug,4
199/94,43,Twin,male,4,HM,1,15-Aug,4
199/94,44,Twin,male,4.6,HM,1,15-Aug,4
24/93,45,Twin,male,4.3,MH,0,15-Aug,4
24/93,46,Twin,male,4.8,MH,0,15-Aug,4
497/93,47,Twin,female,4.7,MH,0,15-Aug,4
497/93,48,Twin,male,4.3,MH,0,15-Aug,4
513/95,49,Single,male,6.4,MH,0,15-Aug,4
316/94,53,Twin,male,4.2,HM,0,16-Aug,5
316/94,54,Twin,male,4.1,HM,0,16-Aug,5
110/95,55,Single,female,4.25,HM,0,16-Aug,5
48/95,56,Single,female,5.45,HM,1,16-Aug,5
386/94,57,Twin,male,5.25,HM,0,16-Aug,5
386/94,58,Twin,male,4.75,HM,0,16-Aug,5
183/94,59,Single,male,6.25,MH,1,16-Aug,5
52/93,60,Single,female,5.5,MH,0,16-Aug,5
569/95,61,Single,male,6.75,HM,1,16-Aug,5
174/95,62,Twin,male,4.3,HM,1,16-Aug,5
174/95,64,Twin,male,3.6,HM,1,16-Aug,5
332/95,65,Twin,female,3.25,HM,0,16-Aug,5
332/95,66,Twin,male,4.25,HM,0,16-Aug,5
471/93,67,Twin,male,4.8,HM,1,16-Aug,5
471/93,68,Twin,male,4.3,HM,1,16-Aug,5
563/95,69,Twin,male,5.1,MH,1,16-Aug,5
255/95,70,Twin,male,5,HM,0,17-Aug,6
563/95,71,Twin,male,5.1,MH,1,16-Aug,5
255/95,72,Twin,female,4.5,HM,0,17-Aug,6
42/95,73,Single,female,4.75,MH,0,17-Aug,6
20/94,74,Single,male,5,HM,1,17-Aug,6
297/95,75,Twin,female,4.85,MH,0,17-Aug,6
297/95,76,Twin,male,6.2,MH,0,17-Aug,6
28/94,77,Twin,female,5.3,MH,1,17-Aug,6
28/94,78,Twin,female,4.25,MH,1,17-Aug,6
544/95,79,Twin,male,5.3,HM,1,17-Aug,6
544/95,80,Twin,female,4.75,HM,1,17-Aug,6
353/95,81,Twin,male,5.3,MH,1,17-Aug,6
353/95,82,Twin,male,5.25,MH,1,17-Aug,6
161/95,83,Twin,male,5,HM,0,17-Aug,6
161/95,84,Twin,male,4.05,HM,0,17-Aug,6
160/95,85,Single,male,5.75,HM,1,17-Aug,6
246/94,86,Twin,male,5,HM,0,17-Aug,6
246/94,87,Twin,female,3.75,HM,0,17-Aug,6
420/95,88,Twin,male,5.75,HM,1,17-Aug,6
420/95,89,Twin,male,6,HM,1,17-Aug,6
154/94,90,Single,male,5.3,MH,1,17-Aug,6
53/95,91,Single,male,6.45,MH,1,17-Aug,6
97/94,92,Single,female,6.05,HM,0,18-Aug,7
50/94,93,Twin,female,4.3,HM,1,18-Aug,7
50/94,94,Twin,male,5.2,HM,1,18-Aug,7
73/93,95,Single,female,5.5,MH,1,18-Aug,7
196/94,96,Twin,male,4.5,HM,0,18-Aug,7
196/94,97,Twin,male,2.6,HM,0,18-Aug,7
80/93,101,Single,male,5.05,HM,0,18-Aug,7
20/93,102,Twin,male,4.25,HM,1,18-Aug,7
20/93,103,Twin,female,4.5,HM,1,20-Mar,7
132/94,104,Single,male,7.05,MH,1,18-Aug,7
513/93,105,Twin,male,5.5,MH,1,19-Aug,8
513/93,106,Twin,female,4.5,MH,1,19-Aug,8
100/94,107,Single,female,4.75,HM,0,19-Aug,8
217/93,108,Single,female,5.75,MH,1,19-Aug,8
134/93,109,Single,female,4.6,HM,1,20-Aug,9
542/95,110,Single,male,4.5,HM,0,20-Aug,9
207/93,111,Single,male,6.5,HH,1,20-Aug,9
336/95,112,Single,male,5.25,MH,0,20-Aug,9
331/94,113,Twin,male,4.35,MH,0,20-Aug,9
331/94,114,Twin,male,2.85,MH,0,20-Aug,9
400/95,115,Single,male,5.4,HM,0,20-Aug,9
42/94,126,Single,female,4.25,HH,0,11-Aug,2
